"customerkey","geographykey","name","birthdate","gender","occupation","commutedistance","city","state","country","postalcode"
11125,37,"Dana Navarro","1961-10-06","F","Skilled Manual","5-10 Miles","Seaford","Victoria","Australia","3198"
11126,11,"Shaun Carson","1954-10-05","M","Skilled Manual","0-1 Miles","North Ryde","New South Wales","Australia","2113"
11127,361,"Jan Edwards","1981-04-19","F","Skilled Manual","5-10 Miles","San Gabriel","California","United States","91776"
11128,635,"Samantha Long","1981-06-03","F","Skilled Manual","5-10 Miles","Renton","Washington","United States","98055"
11129,638,"Julia Wright","1981-02-01","F","Skilled Manual","5-10 Miles","Sedro Woolley","Washington","United States","98284"
11130,543,"Caroline Russell","1985-07-05","F","Skilled Manual","5-10 Miles","Lebanon","Oregon","United States","97355"
11131,50,"Amanda Rivera","1985-09-09","F","Skilled Manual","0-1 Miles","Haney","British Columbia","Canada","V2W 1W2"
11132,51,"Melissa Richardson","1986-04-25","F","Skilled Manual","5-10 Miles","Langford","British Columbia","Canada","V9"
11133,542,"Angela Griffin","1986-03-08","F","Clerical","0-1 Miles","Lake Oswego","Oregon","United States","97034"
11134,30,"Larry Townsend","1957-02-22","M","Skilled Manual","5-10 Miles","Perth","South Australia","Australia","6006"
11135,302,"Marcus Harris","1985-05-02","M","Clerical","5-10 Miles","Burlingame","California","United States","94010"
11136,53,"Brianna Morgan","1984-04-24","F","Skilled Manual","0-1 Miles","Metchosin","British Columbia","Canada","V9"
11137,641,"Jasmine Taylor","1984-01-17","F","Skilled Manual","5-10 Miles","Spokane","Washington","United States","99202"
11138,325,"Lauren Davis","1984-03-14","F","Skilled Manual","0-1 Miles","Glendale","California","United States","91203"
11139,28,"Tanya Moreno","1949-11-05","F","Clerical","5-10 Miles","Cloverdale","South Australia","Australia","6105"
11140,301,"Javier Alvarez","1982-08-11","M","Clerical","5-10 Miles","Burbank","California","United States","91502"
11141,314,"Nicole Ramirez","1982-12-19","F","Skilled Manual","0-1 Miles","Daly City","California","United States","94015"
11142,51,"Eduardo Patterson","1983-02-11","M","Skilled Manual","0-1 Miles","Langford","British Columbia","Canada","V9"
11143,334,"Jonathan Henderson","1982-08-04","M","Skilled Manual","5-10 Miles","Lakewood","California","United States","90712"
11144,607,"Edward Hernandez","1985-03-08","M","Skilled Manual","0-1 Miles","Ballard","Washington","United States","98107"
11145,536,"Jasmine Coleman","1985-06-06","F","Skilled Manual","0-1 Miles","Beaverton","Oregon","United States","97005"
11146,8,"Karla Goel","1945-02-22","F","Management","5-10 Miles","Matraville","New South Wales","Australia","2036"
11147,40,"Ernest Wu","1944-08-04","M","Management","0-1 Miles","Warrnambool","Victoria","Australia","3280"
11148,22,"Ross Vazquez","1947-02-13","M","Management","5-10 Miles","East Brisbane","Queensland","Australia","4169"
11149,25,"Theodore Gill","1946-10-18","M","Management","0-1 Miles","Hervey Bay","Queensland","Australia","4655"
11150,39,"Russell Shen","1946-09-12","M","Management","5-10 Miles","Sunbury","Victoria","Australia","3429"
11151,18,"Melinda Gill","1947-08-25","F","Management","0-1 Miles","Sydney","New South Wales","Australia","1002"
11152,633,"James Williams","1981-07-09","M","Skilled Manual","5-10 Miles","Puyallup","Washington","United States","98371"
11153,635,"Angela James","1981-12-21","F","Skilled Manual","5-10 Miles","Renton","Washington","United States","98055"
11154,553,"Megan Walker","1982-02-18","F","Skilled Manual","5-10 Miles","Woodburn","Oregon","United States","97071"
11155,301,"Hunter Robinson","1981-07-25","M","Skilled Manual","1-2 Miles","Burbank","California","United States","91502"
11156,334,"Maria Roberts","1981-08-06","F","Skilled Manual","1-2 Miles","Lakewood","California","United States","90712"
11157,642,"Hannah Long","1980-12-08","F","Skilled Manual","5-10 Miles","Tacoma","Washington","United States","98403"
11158,361,"Jason Wright","1981-04-06","M","Skilled Manual","5-10 Miles","San Gabriel","California","United States","91776"
11159,385,"Brianna Hughes","1981-03-16","F","Skilled Manual","1-2 Miles","Woodland Hills","California","United States","91364"
11160,311,"Maurice Tang","1979-07-08","M","Skilled Manual","5-10 Miles","Concord","California","United States","94519"
11161,311,"Emily Wood","1979-10-20","F","Skilled Manual","1-2 Miles","Concord","California","United States","94519"
11162,331,"Chase Cox","1979-09-02","M","Skilled Manual","5-10 Miles","La Jolla","California","United States","92806"
11163,372,"Gabriel Wang","1980-06-18","M","Skilled Manual","5-10 Miles","Spring Valley","California","United States","91977"
11164,374,"Devin Brooks","1979-11-02","M","Skilled Manual","1-2 Miles","Torrance","California","United States","90505"
11165,348,"Jocelyn Alexander","1979-01-15","F","Skilled Manual","1-2 Miles","Oakland","California","United States","94611"
11166,631,"Ashley Martinez","1977-10-22","F","Skilled Manual","0-1 Miles","Olympia","Washington","United States","98501"
11167,618,"Jasmine Barnes","1978-01-29","F","Management","0-1 Miles","Issaquah","Washington","United States","98027"
11168,348,"David Rodriguez","1973-11-12","M","Management","0-1 Miles","Oakland","California","United States","94611"
11169,312,"Bryce Richardson","1973-12-20","M","Management","0-1 Miles","Coronado","California","United States","92118"
11170,612,"Carol Howard","1973-08-04","F","Management","0-1 Miles","Burien","Washington","United States","98168"
11171,385,"Jonathan Hill","1978-10-05","M","Management","1-2 Miles","Woodland Hills","California","United States","91364"
11172,626,"Gabrielle Adams","1973-05-20","F","Management","1-2 Miles","Lynnwood","Washington","United States","98036"
11173,552,"Sarah Thomas","1973-02-28","F","Management","0-1 Miles","W. Linn","Oregon","United States","97068"
11174,338,"Nicholas Robinson","1973-01-09","M","Management","2-5 Miles","Los Angeles","California","United States","90012"
11175,300,"Luis Wang","1968-09-01","M","Skilled Manual","5-10 Miles","Beverly Hills","California","United States","90210"
11176,50,"Mason Roberts","1979-01-21","M","Management","1-2 Miles","Haney","British Columbia","Canada","V2W 1W2"
11177,359,"Jose Flores","1948-01-01","M","Management","5-10 Miles","San Diego","California","United States","92102"
11178,334,"Nathan Johnson","1954-08-20","M","Management","1-2 Miles","Lakewood","California","United States","90712"
11179,300,"Molly Rodriguez","1959-12-08","F","Management","5-10 Miles","Beverly Hills","California","United States","90210"
11180,307,"April Anand","1948-07-01","F","Management","0-1 Miles","Chula Vista","California","United States","91910"
11181,338,"Devin Martin","1960-02-01","M","Management","0-1 Miles","Los Angeles","California","United States","90012"
11182,638,"Stephanie Torres","1950-02-22","F","Management","10+ Miles","Sedro Woolley","Washington","United States","98284"
11183,368,"Jasmine Lee","1950-01-12","F","Management","10+ Miles","Santa Cruz","California","United States","95062"
11184,311,"Meghan Hernandez","1955-11-13","F","Management","10+ Miles","Concord","California","United States","94519"
11185,53,"Ashley Henderson","1950-04-07","F","Management","10+ Miles","Metchosin","British Columbia","Canada","V9"
11186,352,"Sarah Price","1949-11-18","F","Management","10+ Miles","Palo Alto","California","United States","94303"
11187,612,"Jennifer Cooper","1949-08-21","F","Management","10+ Miles","Burien","Washington","United States","98168"
11188,361,"Catherine Morris","1950-03-06","F","Management","1-2 Miles","San Gabriel","California","United States","91776"
11189,609,"Lawrence Blanco","1950-01-12","M","Management","10+ Miles","Bellingham","Washington","United States","98225"
11190,300,"Carson Bryant","1949-12-20","M","Management","10+ Miles","Beverly Hills","California","United States","90210"
11191,310,"Kristi Perez","1951-06-17","F","Management","10+ Miles","Colma","California","United States","94014"
11192,637,"James Brown","1951-03-13","M","Management","2-5 Miles","Seattle","Washington","United States","98104"
11193,553,"Ian Gray","1950-08-13","M","Management","2-5 Miles","Woodburn","Oregon","United States","97071"
11194,352,"Jacqueline Price","1950-12-08","F","Management","2-5 Miles","Palo Alto","California","United States","94303"
11195,635,"Megan Henderson","1951-08-10","F","Management","10+ Miles","Renton","Washington","United States","98055"
11196,536,"Alfredo Romero","1951-12-05","M","Management","10+ Miles","Beaverton","Oregon","United States","97005"
11197,637,"Andrea Morris","1951-12-16","F","Management","1-2 Miles","Seattle","Washington","United States","98104"
11198,368,"Brooke Sanders","1952-05-25","F","Management","10+ Miles","Santa Cruz","California","United States","95062"
11199,302,"Jacqueline Bennett","1957-11-02","F","Management","10+ Miles","Burlingame","California","United States","94010"
11200,69,"Jason Griffin","1953-05-21","M","Management","1-2 Miles","Victoria","British Columbia","Canada","V8V"
11201,369,"Amanda Foster","1953-02-14","F","Management","10+ Miles","Santa Monica","California","United States","90401"
11202,334,"Alexia Price","1958-08-22","F","Management","1-2 Miles","Lakewood","California","United States","90712"
11203,60,"Luis Diaz","1959-08-18","M","Professional","10+ Miles","Port Hammond","British Columbia","Canada","V6B 3P7"
11204,536,"Destiny Rivera","1953-11-29","F","Professional","2-5 Miles","Beaverton","Oregon","United States","97005"
11205,612,"Abby Fernandez","1954-01-21","F","Professional","10+ Miles","Burien","Washington","United States","98168"
11206,626,"Blake Flores","1954-03-24","M","Professional","10+ Miles","Lynnwood","Washington","United States","98036"
11207,635,"Danielle Cox","1954-01-16","F","Professional","10+ Miles","Renton","Washington","United States","98055"
11208,325,"Maria Reed","1953-08-03","F","Management","10+ Miles","Glendale","California","United States","91203"
11209,336,"Allison Evans","1953-07-12","F","Management","10+ Miles","Lincoln Acres","California","United States","91950"
11210,383,"Edward Wood","1953-12-06","M","Professional","10+ Miles","West Covina","California","United States","91791"
11211,50,"Samantha Russell","1960-10-08","F","Professional","2-5 Miles","Haney","British Columbia","Canada","V2W 1W2"
11212,53,"Chloe Campbell","1955-05-05","F","Professional","2-5 Miles","Metchosin","British Columbia","Canada","V9"
11213,614,"Stephanie Murphy","1954-11-11","F","Professional","10+ Miles","Edmonds","Washington","United States","98020"
11214,545,"Charles Miller","1955-05-07","M","Professional","10+ Miles","Milwaukie","Oregon","United States","97222"
11215,62,"Ana Perry","1961-06-17","F","Skilled Manual","10+ Miles","Royal Oak","British Columbia","Canada","V8X"
11216,547,"Jasmine Torres","1955-11-17","F","Professional","10+ Miles","Portland","Oregon","United States","97205"
11217,547,"Natalie Adams","1955-08-11","F","Professional","10+ Miles","Portland","Oregon","United States","97205"
11218,642,"Olivia Brown","1961-09-07","F","Professional","2-5 Miles","Tacoma","Washington","United States","98403"
11219,553,"Charles Cook","1956-05-31","M","Professional","10+ Miles","Woodburn","Oregon","United States","97071"
11220,310,"Erica Huang","1961-02-19","F","Professional","10+ Miles","Colma","California","United States","94014"
11221,334,"Nathan Perry","1955-12-08","M","Professional","1-2 Miles","Lakewood","California","United States","90712"
11222,369,"Alexandra Rivera","1956-02-14","F","Management","1-2 Miles","Santa Monica","California","United States","90401"
11223,52,"Hailey Patterson","1957-03-15","F","Professional","2-5 Miles","Langley","British Columbia","Canada","V3A 4R2"
11224,612,"Tiffany Li","1957-03-05","F","Professional","10+ Miles","Burien","Washington","United States","98168"
11225,635,"Madison Lee","1962-02-12","F","Professional","10+ Miles","Renton","Washington","United States","98055"
11226,552,"Sydney Ross","1962-09-23","F","Professional","2-5 Miles","W. Linn","Oregon","United States","97068"
11227,310,"Marshall Chavez","1962-08-08","M","Professional","10+ Miles","Colma","California","United States","94014"
11228,316,"Ashley Jones","1956-10-16","F","Professional","10+ Miles","El Cajon","California","United States","92020"
11229,355,"Adrian Stewart","1957-06-01","M","Professional","10+ Miles","Redwood City","California","United States","94063"
11230,369,"Amber Turner","1956-09-30","F","Professional","2-5 Miles","Santa Monica","California","United States","90401"
11231,611,"Dennis Zhang","1963-11-11","M","Professional","10+ Miles","Bremerton","Washington","United States","98312"
11232,616,"Hailey Bryant","1958-03-27","F","Professional","2-5 Miles","Everett","Washington","United States","98201"
11233,299,"Todd Li","1963-09-06","M","Professional","10+ Miles","Berkeley","California","United States","94704"
11234,337,"Anna Griffin","1958-05-19","F","Professional","10+ Miles","Long Beach","California","United States","90802"
11235,607,"Angel Stewart","1957-08-07","M","Professional","10+ Miles","Ballard","Washington","United States","98107"
11236,609,"Jeremy Butler","1957-09-02","M","Professional","10+ Miles","Bellingham","Washington","United States","98225"
11237,161,"Clarence Anand","1964-03-22","M","Management","0-1 Miles","Solingen","Nordrhein-Westfalen","Germany","42651"
11238,232,"Mayra Prasad","1964-02-07","F","Management","0-1 Miles","Birmingham","England","United Kingdom","B29 6SL"
11239,249,"Latoya Goel","1969-10-02","F","Professional","5-10 Miles","London","England","United Kingdom","SW1P 2NU"
11240,273,"Anne Hernandez","1964-06-09","F","Professional","5-10 Miles","Watford","England","United Kingdom","WA3"
11241,211,"Lisa Cai","1974-04-06","F","Professional","5-10 Miles","Les Ulis","Essonne","France","91940"
11242,209,"Larry Munoz","1963-05-11","M","Professional","5-10 Miles","Versailles","Yveline","France","78000"
11243,237,"Robin Alvarez","1963-04-08","F","Professional","0-1 Miles","Esher-Molesey","England","United Kingdom","EM15"
11244,267,"Alexis Coleman","1968-11-22","F","Management","0-1 Miles","Runcorn","England","United Kingdom","TY31"
11245,132,"Ricky Vazquez","1962-04-26","M","Professional","5-10 Miles","Hamburg","Hessen","Germany","22001"
11246,147,"Latasha Rubio","1962-04-08","F","Professional","5-10 Miles","Hamburg","Hamburg","Germany","20354"
11247,242,"Claudia Zhou","1961-12-04","F","Professional","0-1 Miles","Lancaster","England","United Kingdom","LA1 1LN"
11248,223,"Tristan Alexander","1966-03-22","M","Professional","10+ Miles","Saint-Denis","Seine Saint Denis","France","93400"
11249,178,"Cindy Patel","1966-07-09","F","Professional","0-1 Miles","Sulzbach Taunus","Saarland","Germany","66272"
11250,276,"Shannon Liu","1966-03-08","F","Professional","5-10 Miles","Woolston","England","United Kingdom","WA1 4SY"
11251,50,"Xavier Long","1938-01-01","M","Professional","5-10 Miles","Haney","British Columbia","Canada","V2W 1W2"
11252,335,"Nicholas Thompson","1937-12-05","M","Management","2-5 Miles","Lemon Grove","California","United States","91945"
11253,69,"José Hernandez","1949-08-24","M","Management","1-2 Miles","Victoria","British Columbia","Canada","V8V"
11254,612,"Johnathan Vance","1938-08-31","M","Management","5-10 Miles","Burien","Washington","United States","98168"
