customerkey,geographykey,name,birthdate,gender,occupation,commutedistance,city,state,country,postalcode
11116,18,Clinton Carlson,02-04-1979,M,Skilled Manual,5-10 Miles,Sydney,New South Wales,Australia,1002
11117,8,April Deng,21-08-1966,F,Skilled Manual,10+ Miles,Matraville,New South Wales,Australia,2036
11118,6,Alvin Zeng,31-12-1962,M,Skilled Manual,0-1 Miles,Lavender Bay,New South Wales,Australia,2060
11119,13,Evan James,07-10-1940,M,Clerical,0-1 Miles,Port Macquarie,New South Wales,Australia,2444
11120,18,Beth Jiménez,06-02-1942,F,Management,5-10 Miles,Sydney,New South Wales,Australia,1002
11121,10,Orlando Suarez,18-05-1966,M,Skilled Manual,10+ Miles,Newcastle,New South Wales,Australia,2300
11122,12,Byron Vazquez,30-09-1965,M,Skilled Manual,5-10 Miles,North Sydney,New South Wales,Australia,2055
11123,39,Philip Alvarez,18-12-1965,M,Skilled Manual,10+ Miles,Sunbury,Victoria,Australia,3429
11124,40,Ross Jordan,23-07-1968,M,Skilled Manual,5-10 Miles,Warrnambool,Victoria,Australia,3280
11125,37,Dana Navarro,06-10-1961,F,Skilled Manual,5-10 Miles,Seaford,Victoria,Australia,3198
11126,11,Shaun Carson,05-10-1954,M,Skilled Manual,0-1 Miles,North Ryde,New South Wales,Australia,2113
11127,361,Jan Edwards,19-04-1981,F,Skilled Manual,5-10 Miles,San Gabriel,California,United States,91776
11128,635,Samantha Long,03-06-1981,F,Skilled Manual,5-10 Miles,Renton,Washington,United States,98055
11129,638,Julia Wright,01-02-1981,F,Skilled Manual,5-10 Miles,Sedro Woolley,Washington,United States,98284
11130,543,Caroline Russell,05-07-1985,F,Skilled Manual,5-10 Miles,Lebanon,Oregon,United States,97355
11131,50,Amanda Rivera,09-09-1985,F,Skilled Manual,0-1 Miles,Haney,British Columbia,Canada,V2W 1W2
11132,51,Melissa Richardson,25-04-1986,F,Skilled Manual,5-10 Miles,Langford,British Columbia,Canada,V9
11133,542,Angela Griffin,08-03-1986,F,Clerical,0-1 Miles,Lake Oswego,Oregon,United States,97034
11134,30,Larry Townsend,22-02-1957,M,Skilled Manual,5-10 Miles,Perth,South Australia,Australia,6006
11135,302,Marcus Harris,02-05-1985,M,Clerical,5-10 Miles,Burlingame,California,United States,94010
11136,53,Brianna Morgan,24-04-1984,F,Skilled Manual,0-1 Miles,Metchosin,British Columbia,Canada,V9
11137,641,Jasmine Taylor,17-01-1984,F,Skilled Manual,5-10 Miles,Spokane,Washington,United States,99202
11138,325,Lauren Davis,14-03-1984,F,Skilled Manual,0-1 Miles,Glendale,California,United States,91203
11139,28,Tanya Moreno,05-11-1949,F,Clerical,5-10 Miles,Cloverdale,South Australia,Australia,6105
11140,301,Javier Alvarez,11-08-1982,M,Clerical,5-10 Miles,Burbank,California,United States,91502
11141,314,Nicole Ramirez,19-12-1982,F,Skilled Manual,0-1 Miles,Daly City,California,United States,94015
11142,51,Eduardo Patterson,11-02-1983,M,Skilled Manual,0-1 Miles,Langford,British Columbia,Canada,V9
11143,334,Jonathan Henderson,04-08-1982,M,Skilled Manual,5-10 Miles,Lakewood,California,United States,90712
11144,607,Edward Hernandez,08-03-1985,M,Skilled Manual,0-1 Miles,Ballard,Washington,United States,98107
11145,536,Jasmine Coleman,06-06-1985,F,Skilled Manual,0-1 Miles,Beaverton,Oregon,United States,97005
11146,8,Karla Goel,22-02-1945,F,Management,5-10 Miles,Matraville,New South Wales,Australia,2036
11147,40,Ernest Wu,04-08-1944,M,Management,0-1 Miles,Warrnambool,Victoria,Australia,3280
11148,22,Ross Vazquez,13-02-1947,M,Management,5-10 Miles,East Brisbane,Queensland,Australia,4169
11149,25,Theodore Gill,18-10-1946,M,Management,0-1 Miles,Hervey Bay,Queensland,Australia,4655
11150,39,Russell Shen,12-09-1946,M,Management,5-10 Miles,Sunbury,Victoria,Australia,3429
11151,18,Melinda Gill,25-08-1947,F,Management,0-1 Miles,Sydney,New South Wales,Australia,1002
11152,633,James Williams,09-07-1981,M,Skilled Manual,5-10 Miles,Puyallup,Washington,United States,98371
11153,635,Angela James,21-12-1981,F,Skilled Manual,5-10 Miles,Renton,Washington,United States,98055
11154,553,Megan Walker,18-02-1982,F,Skilled Manual,5-10 Miles,Woodburn,Oregon,United States,97071
11155,301,Hunter Robinson,25-07-1981,M,Skilled Manual,1-2 Miles,Burbank,California,United States,91502
11156,334,Maria Roberts,06-08-1981,F,Skilled Manual,1-2 Miles,Lakewood,California,United States,90712
11157,642,Hannah Long,08-12-1980,F,Skilled Manual,5-10 Miles,Tacoma,Washington,United States,98403
11158,361,Jason Wright,06-04-1981,M,Skilled Manual,5-10 Miles,San Gabriel,California,United States,91776
11159,385,Brianna Hughes,16-03-1981,F,Skilled Manual,1-2 Miles,Woodland Hills,California,United States,91364
11160,311,Maurice Tang,08-07-1979,M,Skilled Manual,5-10 Miles,Concord,California,United States,94519
11161,311,Emily Wood,20-10-1979,F,Skilled Manual,1-2 Miles,Concord,California,United States,94519
11162,331,Chase Cox,02-09-1979,M,Skilled Manual,5-10 Miles,La Jolla,California,United States,92806
11163,372,Gabriel Wang,18-06-1980,M,Skilled Manual,5-10 Miles,Spring Valley,California,United States,91977
11164,374,Devin Brooks,02-11-1979,M,Skilled Manual,1-2 Miles,Torrance,California,United States,90505
11165,348,Jocelyn Alexander,15-01-1979,F,Skilled Manual,1-2 Miles,Oakland,California,United States,94611
11166,631,Ashley Martinez,22-10-1977,F,Skilled Manual,0-1 Miles,Olympia,Washington,United States,98501
11167,618,Jasmine Barnes,29-01-1978,F,Management,0-1 Miles,Issaquah,Washington,United States,98027
11168,348,David Rodriguez,12-11-1973,M,Management,0-1 Miles,Oakland,California,United States,94611
11169,312,Bryce Richardson,20-12-1973,M,Management,0-1 Miles,Coronado,California,United States,92118
11170,612,Carol Howard,04-08-1973,F,Management,0-1 Miles,Burien,Washington,United States,98168
11171,385,Jonathan Hill,05-10-1978,M,Management,1-2 Miles,Woodland Hills,California,United States,91364
11172,626,Gabrielle Adams,20-05-1973,F,Management,1-2 Miles,Lynnwood,Washington,United States,98036
11173,552,Sarah Thomas,28-02-1973,F,Management,0-1 Miles,W. Linn,Oregon,United States,97068
11174,338,Nicholas Robinson,09-01-1973,M,Management,2-5 Miles,Los Angeles,California,United States,90012
11175,300,Luis Wang,01-09-1968,M,Skilled Manual,5-10 Miles,Beverly Hills,California,United States,90210
11176,50,Mason Roberts,21-01-1979,M,Management,1-2 Miles,Haney,British Columbia,Canada,V2W 1W2
11177,359,Jose Flores,01-01-1948,M,Management,5-10 Miles,San Diego,California,United States,92102
11178,334,Nathan Johnson,20-08-1954,M,Management,1-2 Miles,Lakewood,California,United States,90712
11179,300,Molly Rodriguez,08-12-1959,F,Management,5-10 Miles,Beverly Hills,California,United States,90210
11180,307,April Anand,01-07-1948,F,Management,0-1 Miles,Chula Vista,California,United States,91910
11181,338,Devin Martin,01-02-1960,M,Management,0-1 Miles,Los Angeles,California,United States,90012
11182,638,Stephanie Torres,22-02-1950,F,Management,10+ Miles,Sedro Woolley,Washington,United States,98284
11183,368,Jasmine Lee,12-01-1950,F,Management,10+ Miles,Santa Cruz,California,United States,95062
11184,311,Meghan Hernandez,13-11-1955,F,Management,10+ Miles,Concord,California,United States,94519
11185,53,Ashley Henderson,07-04-1950,F,Management,10+ Miles,Metchosin,British Columbia,Canada,V9
11186,352,Sarah Price,18-11-1949,F,Management,10+ Miles,Palo Alto,California,United States,94303
11187,612,Jennifer Cooper,21-08-1949,F,Management,10+ Miles,Burien,Washington,United States,98168
11188,361,Catherine Morris,06-03-1950,F,Management,1-2 Miles,San Gabriel,California,United States,91776
11189,609,Lawrence Blanco,12-01-1950,M,Management,10+ Miles,Bellingham,Washington,United States,98225
11190,300,Carson Bryant,20-12-1949,M,Management,10+ Miles,Beverly Hills,California,United States,90210
11191,310,Kristi Perez,17-06-1951,F,Management,10+ Miles,Colma,California,United States,94014
11192,637,James Brown,13-03-1951,M,Management,2-5 Miles,Seattle,Washington,United States,98104
11193,553,Ian Gray,13-08-1950,M,Management,2-5 Miles,Woodburn,Oregon,United States,97071
11194,352,Jacqueline Price,08-12-1950,F,Management,2-5 Miles,Palo Alto,California,United States,94303
11195,635,Megan Henderson,10-08-1951,F,Management,10+ Miles,Renton,Washington,United States,98055
11196,536,Alfredo Romero,05-12-1951,M,Management,10+ Miles,Beaverton,Oregon,United States,97005
11197,637,Andrea Morris,16-12-1951,F,Management,1-2 Miles,Seattle,Washington,United States,98104
11198,368,Brooke Sanders,25-05-1952,F,Management,10+ Miles,Santa Cruz,California,United States,95062
11199,302,Jacqueline Bennett,02-11-1957,F,Management,10+ Miles,Burlingame,California,United States,94010
11200,69,Jason Griffin,21-05-1953,M,Management,1-2 Miles,Victoria,British Columbia,Canada,V8V
11201,369,Amanda Foster,14-02-1953,F,Management,10+ Miles,Santa Monica,California,United States,90401
11202,334,Alexia Price,22-08-1958,F,Management,1-2 Miles,Lakewood,California,United States,90712
11203,60,Luis Diaz,18-08-1959,M,Professional,10+ Miles,Port Hammond,British Columbia,Canada,V6B 3P7
11204,536,Destiny Rivera,29-11-1953,F,Professional,2-5 Miles,Beaverton,Oregon,United States,97005
11205,612,Abby Fernandez,21-01-1954,F,Professional,10+ Miles,Burien,Washington,United States,98168
11206,626,Blake Flores,24-03-1954,M,Professional,10+ Miles,Lynnwood,Washington,United States,98036
11207,635,Danielle Cox,16-01-1954,F,Professional,10+ Miles,Renton,Washington,United States,98055
11208,325,Maria Reed,03-08-1953,F,Management,10+ Miles,Glendale,California,United States,91203
11209,336,Allison Evans,12-07-1953,F,Management,10+ Miles,Lincoln Acres,California,United States,91950
11210,383,Edward Wood,06-12-1953,M,Professional,10+ Miles,West Covina,California,United States,91791
11211,50,Samantha Russell,08-10-1960,F,Professional,2-5 Miles,Haney,British Columbia,Canada,V2W 1W2
11212,53,Chloe Campbell,05-05-1955,F,Professional,2-5 Miles,Metchosin,British Columbia,Canada,V9
11213,614,Stephanie Murphy,11-11-1954,F,Professional,10+ Miles,Edmonds,Washington,United States,98020
11214,545,Charles Miller,07-05-1955,M,Professional,10+ Miles,Milwaukie,Oregon,United States,97222
11215,62,Ana Perry,17-06-1961,F,Skilled Manual,10+ Miles,Royal Oak,British Columbia,Canada,V8X
11216,547,Jasmine Torres,17-11-1955,F,Professional,10+ Miles,Portland,Oregon,United States,97205
11217,547,Natalie Adams,11-08-1955,F,Professional,10+ Miles,Portland,Oregon,United States,97205
11218,642,Olivia Brown,07-09-1961,F,Professional,2-5 Miles,Tacoma,Washington,United States,98403
11219,553,Charles Cook,31-05-1956,M,Professional,10+ Miles,Woodburn,Oregon,United States,97071
11220,310,Erica Huang,19-02-1961,F,Professional,10+ Miles,Colma,California,United States,94014
11221,334,Nathan Perry,08-12-1955,M,Professional,1-2 Miles,Lakewood,California,United States,90712
11222,369,Alexandra Rivera,14-02-1956,F,Management,1-2 Miles,Santa Monica,California,United States,90401
11223,52,Hailey Patterson,15-03-1957,F,Professional,2-5 Miles,Langley,British Columbia,Canada,V3A 4R2
11224,612,Tiffany Li,05-03-1957,F,Professional,10+ Miles,Burien,Washington,United States,98168
11225,635,Madison Lee,12-02-1962,F,Professional,10+ Miles,Renton,Washington,United States,98055
11226,552,Sydney Ross,23-09-1962,F,Professional,2-5 Miles,W. Linn,Oregon,United States,97068
11227,310,Marshall Chavez,08-08-1962,M,Professional,10+ Miles,Colma,California,United States,94014
11228,316,Ashley Jones,16-10-1956,F,Professional,10+ Miles,El Cajon,California,United States,92020
11229,355,Adrian Stewart,01-06-1957,M,Professional,10+ Miles,Redwood City,California,United States,94063
11230,369,Amber Turner,30-09-1956,F,Professional,2-5 Miles,Santa Monica,California,United States,90401
11231,611,Dennis Zhang,11-11-1963,M,Professional,10+ Miles,Bremerton,Washington,United States,98312
11232,616,Hailey Bryant,27-03-1958,F,Professional,2-5 Miles,Everett,Washington,United States,98201
11233,299,Todd Li,06-09-1963,M,Professional,10+ Miles,Berkeley,California,United States,94704
11234,337,Anna Griffin,19-05-1958,F,Professional,10+ Miles,Long Beach,California,United States,90802
11235,607,Angel Stewart,07-08-1957,M,Professional,10+ Miles,Ballard,Washington,United States,98107
11236,609,Jeremy Butler,02-09-1957,M,Professional,10+ Miles,Bellingham,Washington,United States,98225
11237,161,Clarence Anand,22-03-1964,M,Management,0-1 Miles,Solingen,Nordrhein-Westfalen,Germany,42651
11238,232,Mayra Prasad,07-02-1964,F,Management,0-1 Miles,Birmingham,England,United Kingdom,B29 6SL
11239,249,Latoya Goel,02-10-1969,F,Professional,5-10 Miles,London,England,United Kingdom,SW1P 2NU
11240,273,Anne Hernandez,09-06-1964,F,Professional,5-10 Miles,Watford,England,United Kingdom,WA3
11241,211,Lisa Cai,06-04-1974,F,Professional,5-10 Miles,Les Ulis,Essonne,France,91940
11242,209,Larry Munoz,11-05-1963,M,Professional,5-10 Miles,Versailles,Yveline,France,78000
11243,237,Robin Alvarez,08-04-1963,F,Professional,0-1 Miles,Esher-Molesey,England,United Kingdom,EM15
11244,267,Alexis Coleman,22-11-1968,F,Management,0-1 Miles,Runcorn,England,United Kingdom,TY31
11245,132,Ricky Vazquez,26-04-1962,M,Professional,5-10 Miles,Hamburg,Hessen,Germany,22001
11246,147,Latasha Rubio,08-04-1962,F,Professional,5-10 Miles,Hamburg,Hamburg,Germany,20354
11247,242,Claudia Zhou,04-12-1961,F,Professional,0-1 Miles,Lancaster,England,United Kingdom,LA1 1LN
11248,223,Tristan Alexander,22-03-1966,M,Professional,10+ Miles,Saint-Denis,Seine Saint Denis,France,93400
11249,178,Cindy Patel,09-07-1966,F,Professional,0-1 Miles,Sulzbach Taunus,Saarland,Germany,66272
11250,276,Shannon Liu,08-03-1966,F,Professional,5-10 Miles,Woolston,England,United Kingdom,WA1 4SY
11251,50,Xavier Long,01-01-1938,M,Professional,5-10 Miles,Haney,British Columbia,Canada,V2W 1W2
11252,335,Nicholas Thompson,05-12-1937,M,Management,2-5 Miles,Lemon Grove,California,United States,91945
11253,69,José Hernandez,24-08-1949,M,Management,1-2 Miles,Victoria,British Columbia,Canada,V8V
11254,612,Johnathan Vance,31-08-1938,M,Management,5-10 Miles,Burien,Washington,United States,98168
11255,612,Colin Lin,02-10-1938,M,Management,5-10 Miles,Burien,Washington,United States,98168
11256,626,Katelyn Hernandez,20-03-1939,F,Management,5-10 Miles,Lynnwood,Washington,United States,98036
11257,345,Jacqueline Powell,06-07-1938,F,Management,2-5 Miles,Newport Beach,California,United States,92625
11258,352,Xavier Hill,26-12-1938,M,Management,2-5 Miles,Palo Alto,California,United States,94303
11259,548,Victoria Stewart,24-09-1970,F,Professional,2-5 Miles,Salem,Oregon,United States,97301
11260,302,Katelyn Kelly,08-04-1976,F,Management,2-5 Miles,Burlingame,California,United States,94010
11261,359,Stephanie Collins,22-10-1970,F,Management,0-1 Miles,San Diego,California,United States,92102
11262,60,Jennifer Simmons,01-05-1975,F,Management,0-1 Miles,Port Hammond,British Columbia,Canada,V6B 3P7
11263,612,Trinity Richardson,11-03-1970,F,Professional,2-5 Miles,Burien,Washington,United States,98168
11264,618,Eduardo Martin,15-12-1969,M,Professional,0-1 Miles,Issaquah,Washington,United States,98027
